Gene1,Gene2,PartialCor,Condition
FDXACB1,GGA1,-0.02803,IFN-gamma
FDXACB1,GSDM1,0.17194,IFN-gamma
FDXACB1,KLHL28,0.10751,IFN-gamma
FGFBP2,ITK,0.30454,IFN-gamma
FHIT,FKBP14,-0.12109,IFN-gamma
FKBP14,FLJ38717,0.04625,IFN-gamma
FKBP14,FLJ46309,0.34756,IFN-gamma
FKBP14,HNRNPU,0.32428,IFN-gamma
FKBP14,ZNF131,0.16441,IFN-gamma
FKBP1P1,FUT6,0.16087,IFN-gamma
FKBP1P1,GABPB2,-0.05151,IFN-gamma
FKBP1P1,PHAX,0.15941,IFN-gamma
FKBP1P1,TLK1,0.21477,IFN-gamma
FKTN,FLJ44124,0.37362,IFN-gamma
FKTN,GIMAP1,0.0978,IFN-gamma
FLJ38717,GABPB2,0.07943,IFN-gamma
FLJ38717,GIMAP1,-0.10416,IFN-gamma
FLJ38717,GTF2IRD2B,0.06351,IFN-gamma
FLJ38717,LGALS3,-0.19208,IFN-gamma
FLJ38717,LOC100134868,0.20263,IFN-gamma
FLJ38717,NBPF8,-0.0956,IFN-gamma
FLJ38717,TPM4,-0.16138,IFN-gamma
FLJ38717,ZNF786,0.17785,IFN-gamma
FLJ40453,FLJ44124,-0.02725,IFN-gamma
FLJ40453,GIMAP1,0.06175,IFN-gamma
FLJ40453,GSR,0.39329,IFN-gamma
FLJ40453,IFT88,0.15294,IFN-gamma
FLJ40453,LOC100132620,0.24058,IFN-gamma
FLJ40453,PIGW,0.27046,IFN-gamma
FLJ44124,FLJ46309,0.08802,IFN-gamma
FLJ44124,GABPB2,0.15828,IFN-gamma
FLJ44124,KIAA0101,0.00016,IFN-gamma
FLJ44124,LOC202781,0.40276,IFN-gamma
FLJ46309,GCLM,0.10159,IFN-gamma
FLJ46309,GGA1,0.32988,IFN-gamma
FOXD4L4,FUT6,0.14284,IFN-gamma
FOXD4L4,GALNT6,0.0946,IFN-gamma
FOXD4L4,GCLM,0.26533,IFN-gamma
FUT6,MBOAT2,0.23735,IFN-gamma
FUT6,RASSF6,0.19098,IFN-gamma
FUT6,TNFSF15,0.19598,IFN-gamma
GABPB2,GJC1,0.17586,IFN-gamma
GABPB2,IL10,0.27879,IFN-gamma
GABPB2,IL18,0.35717,IFN-gamma
GALNT6,ISG20L2,0.13395,IFN-gamma
GALNT6,PCYOX1,0.23367,IFN-gamma
GALNT6,RELB,0.21717,IFN-gamma
GALNT6,ZYX,0.16805,IFN-gamma
GCLM,SLC3A2,0.1135,IFN-gamma
GDPD1,HNRNPU,0.12259,IFN-gamma
GDPD1,LOC100128126,0.17903,IFN-gamma
GDPD1,LOC100131452,0.21184,IFN-gamma
GDPD1,LOC440157,0.26927,IFN-gamma
GGA1,GNB4,0.09904,IFN-gamma
GGA1,KIAA0101,0.01133,IFN-gamma
GGA1,RRP7B,0.74041,IFN-gamma
GIMAP1,HNRPR,-0.14537,IFN-gamma
GIMAP1,IL10,0.19817,IFN-gamma
GIMAP1,IL12RB1,0.19424,IFN-gamma
GIMAP1,KCNMB4,0.10296,IFN-gamma
GIMAP1,LOC401357,-0.09742,IFN-gamma
GIMAP1,TIPRL,0.21757,IFN-gamma
GJC1,HIATL2,0.21359,IFN-gamma
GJC1,HSPC268,-0.05547,IFN-gamma
GJC1,LOC642947,0.50192,IFN-gamma
GLIPR1,GTF2IRD2B,0.08894,IFN-gamma
GLIPR1,IL32,-0.26639,IFN-gamma
GLIPR1,IMPDH1,0.20715,IFN-gamma
GLIPR1,PION,-0.09366,IFN-gamma
GLIPR1,RELB,-0.17931,IFN-gamma
GLIPR1,SORL1,0.23772,IFN-gamma
GLTSCR1,GSDM1,0.04963,IFN-gamma
GLTSCR1,IER3,0.14014,IFN-gamma
GLTSCR1,IMPDH1,0.15049,IFN-gamma
GLTSCR1,LGALS3,-0.16427,IFN-gamma
GLTSCR1,PHRF1,0.34166,IFN-gamma
GLTSCR1,PRPF8,0.26965,IFN-gamma
GLTSCR1,SNORD3D,-0.03604,IFN-gamma
GLTSCR1,SNX17,-0.09649,IFN-gamma
GLTSCR1,VHL,0.12316,IFN-gamma
GNB4,GSDM1,-0.09225,IFN-gamma
GNB4,PLEKHB2,0.22802,IFN-gamma
GSDM1,GSR,0.07329,IFN-gamma
GSDM1,GTF2IRD2B,0.06198,IFN-gamma
GSDM1,HCG2P7,-0.05876,IFN-gamma
GSDM1,HFE,0.09003,IFN-gamma
GSDM1,ICA1,0.0202,IFN-gamma
GSDM1,IL10,0.03543,IFN-gamma
GSDM1,KILLIN,0.3254,IFN-gamma
GSDM1,LGMN,-0.09386,IFN-gamma
GSDM1,PPID,0.71991,IFN-gamma
GSR,H6PD,0.11734,IFN-gamma
GSTTP2,HNRNPU,0.1046,IFN-gamma
GSTTP2,LOC123688,0.20372,IFN-gamma
GSTTP2,LOC644642,0.17454,IFN-gamma
GSTTP2,RHBDL2,0.38955,IFN-gamma
GTF2IRD2B,NFIL3,-0.17003,IFN-gamma
GTF2IRD2B,SLAMF7,-0.13815,IFN-gamma
GTF2IRD2B,SSSCA1,0.20235,IFN-gamma
H6PD,IMPACT,0.07135,IFN-gamma
H6PD,LGMN,0.20246,IFN-gamma
H6PD,LOC727773,0.34677,IFN-gamma
H6PD,LOC728054,0.31743,IFN-gamma
H6PD,TRIM16L,-0.14238,IFN-gamma
H6PD,TTC21B,0.28378,IFN-gamma
HCG2P7,HIATL2,0.32191,IFN-gamma
HCG2P7,HSPC268,0.10727,IFN-gamma
HCG2P7,KIAA0101,0.18357,IFN-gamma
HCG2P7,LOC202781,-0.20913,IFN-gamma
HCG2P7,LOC731789,-0.07834,IFN-gamma
HCG2P7,MINK1,0.07001,IFN-gamma
HIATL2,HNRNPU,0.1819,IFN-gamma
HIATL2,HSD17B7,0.57929,IFN-gamma
HIST1H2BD,IL32,-0.2209,IFN-gamma
HIST1H2BD,KIR2DL3,0.32486,IFN-gamma
HIST1H2BD,NBPF8,-0.11228,IFN-gamma
HIST1H2BD,PHF1,0.1934,IFN-gamma
HIST1H2BD,SLC35E3,0.20166,IFN-gamma
HIST1H2BD,ZNF701,0.16186,IFN-gamma
HNRNPU,HSPC268,0.1189,IFN-gamma
HNRNPU,KIAA0101,-0.18011,IFN-gamma
HNRNPU,ZNF483,0.26576,IFN-gamma
HNRPR,NBPF8,0.16017,IFN-gamma
HNRPR,PHF1,-0.13032,IFN-gamma
HNRPR,RAG1AP1,-0.09914,IFN-gamma
HNRPR,SGK3,0.28568,IFN-gamma
HNRPR,SPTLC1,-0.08008,IFN-gamma
HNRPR,TAF13,0.23573,IFN-gamma
HNRPR,TBC1D15,0.14529,IFN-gamma
HNRPR,TMBIM4,0.14625,IFN-gamma
HNRPR,WDR48,0.14809,IFN-gamma
HSBP1,ICA1,-0.11948,IFN-gamma
HSBP1,OSCAR,0.15029,IFN-gamma
HSBP1,SLC3A2,0.10842,IFN-gamma
HSBP1,SNX17,0.26576,IFN-gamma
HSBP1,STK24,-0.0991,IFN-gamma
HSBP1,TBC1D15,0.19447,IFN-gamma
HSBP1,UBE2E2,0.17535,IFN-gamma
HSBP1,ZNF845,0.22766,IFN-gamma
HSD17B7,HSPC268,0.10674,IFN-gamma
HSD17B7,IL18,0.20934,IFN-gamma
HSD17B7,KLHL28,-0.1037,IFN-gamma
HSPC268,ICMT,-0.06712,IFN-gamma
HSPC268,KCNH6,0.15433,IFN-gamma
HSPC268,KLHL28,0.10058,IFN-gamma
HSPC268,LOC100130835,0.07246,IFN-gamma
ICA1,IL10,0.03667,IFN-gamma
ICA1,MCM8,0.12612,IFN-gamma
ICA1,PNPT1,0.25628,IFN-gamma
ICA1,SLC4A5,0.29518,IFN-gamma
ICMT,IL10,-0.06047,IFN-gamma
ICMT,LOC728457,-0.08198,IFN-gamma
IER3,LGALS3,-0.08453,IFN-gamma
IER3,MAFF,0.07756,IFN-gamma
IER3,NFIL3,0.16529,IFN-gamma
IER3,PCYOX1,-0.10785,IFN-gamma
IER3,PGA3,0.18144,IFN-gamma
IER3,RELB,0.14161,IFN-gamma
IER3,SGK3,0.07135,IFN-gamma
IFT88,PHF1,0.12938,IFN-gamma
IFT88,TAF11,0.12195,IFN-gamma
IFT88,TBC1D15,0.08541,IFN-gamma
IFT88,ZNF777,-0.11438,IFN-gamma
IL10,IL18,0.16263,IFN-gamma
IL12RB1,IL18,-0.06369,IFN-gamma
IL12RB1,IMPACT,0.11004,IFN-gamma
IL12RB1,IMPDH1,0.27872,IFN-gamma
IL12RB1,MEFV,0.25534,IFN-gamma
IL12RB1,NUP107,-0.13727,IFN-gamma
IL18,ITIH5,0.14534,IFN-gamma
IL18,LOC100130053,0.18086,IFN-gamma
IL32,KCNMB4,-0.25113,IFN-gamma
IL32,LYRM7,0.06619,IFN-gamma
IL32,SORL1,0.19788,IFN-gamma
IL32,UBE2E2,0.18821,IFN-gamma
IMPACT,KIAA0101,-0.06071,IFN-gamma
IMPDH1,LGALS3,-0.08568,IFN-gamma
IMPDH1,LYRM7,-0.08752,IFN-gamma
IMPDH1,NBPF8,-0.05494,IFN-gamma
IMPDH1,PION,-0.08192,IFN-gamma
IMPDH1,SNX17,0.10734,IFN-gamma
IMPDH1,TNK2,0.19218,IFN-gamma
IMPDH1,YEATS4,-0.11453,IFN-gamma
ISG20L2,KLHL8,0.09785,IFN-gamma
ISG20L2,LOC644642,-0.12968,IFN-gamma
ISG20L2,LYRM7,0.16911,IFN-gamma
ISG20L2,MRP63,0.13511,IFN-gamma
ISG20L2,SGK3,0.13078,IFN-gamma
ISG20L2,STK24,-0.09038,IFN-gamma
ITIH5,KILLIN,0.09887,IFN-gamma
ITIH5,LOC401357,0.08103,IFN-gamma
ITK,LEF1,0.77787,IFN-gamma
ITK,SLAMF6,0.0879,IFN-gamma
JARID2,LOC728457,0.09509,IFN-gamma
JARID2,STK24,0.31396,IFN-gamma
KCNH6,KIAA0101,0.10733,IFN-gamma
KCNH6,KIAA1751,0.31243,IFN-gamma
KCNMB4,SMAP1,0.10022,IFN-gamma
KCNMB4,SORL1,0.17756,IFN-gamma
KIAA0101,KLHL8,0.11898,IFN-gamma
KIAA0101,LILRB3,0.12766,IFN-gamma
KIAA0101,LOC100132540,-0.06486,IFN-gamma
KIAA0101,MGC16703,0.19583,IFN-gamma
KIAA0101,NBPF8,-0.18006,IFN-gamma
KIAA0101,PDCD7,0.2667,IFN-gamma
KIAA1751,KILLIN,-0.06136,IFN-gamma
KIAA1751,LGALS3,9e-05,IFN-gamma
KIAA1751,LOC100128098,0.37623,IFN-gamma
KIAA1751,LOC641522,0.08897,IFN-gamma
KILLIN,LGMN,0.12372,IFN-gamma
KILLIN,LMOD3,-0.06884,IFN-gamma
KILLIN,LOC100132727,0.06726,IFN-gamma
KILLIN,LOC641522,0.46586,IFN-gamma
KLHL28,KLHL8,0.06021,IFN-gamma
KLHL28,LIN52,0.06893,IFN-gamma
KLHL28,LMOD3,0.17944,IFN-gamma
KLHL28,LOC100130835,0.24677,IFN-gamma
KLHL28,LYZ,-0.16897,IFN-gamma
KLHL8,NCAPD2,0.07171,IFN-gamma
KLHL8,POLR3A,0.21071,IFN-gamma
KLHL8,ZNF845,0.11344,IFN-gamma
LEF1,RINL,0.11394,IFN-gamma
LEMD3,LOC284821,-0.13871,IFN-gamma
LEMD3,LYRM7,0.16806,IFN-gamma
LEMD3,NFIL3,0.11327,IFN-gamma
LEMD3,SLAMF7,0.14624,IFN-gamma
LEMD3,SMC4,0.08748,IFN-gamma
LEMD3,TBC1D15,0.10115,IFN-gamma
LGALS3,LOC100128098,0.10251,IFN-gamma
LGALS3,LOC100130229,-0.17054,IFN-gamma
LGALS3,LOC643882,0.05977,IFN-gamma
LGALS3,LOC653086,0.14032,IFN-gamma
LGALS3,LOC729603,-0.09791,IFN-gamma
LGALS3,LOC730313,-0.00035,IFN-gamma
LGALS3,LYZ,0.04431,IFN-gamma
LGALS3,NCAPD2,-0.1354,IFN-gamma
LGALS3,NLRP3,-0.24883,IFN-gamma
LGALS3,PRPF8,0.18964,IFN-gamma
LGALS3,PTPLAD2,0.11704,IFN-gamma
LGALS3,YEATS4,0.18816,IFN-gamma
LGALS3,ZNF777,0.14087,IFN-gamma
LGMN,LOC100132540,0.19314,IFN-gamma
LGMN,LOC100132870,0.34379,IFN-gamma
LILRB3,LIN52,0.06447,IFN-gamma
LILRB3,LOC728105,-0.0903,IFN-gamma
LILRB3,MCM8,0.2032,IFN-gamma
LIN52,LOC728457,0.09406,IFN-gamma
LIN52,LYZ,-0.25571,IFN-gamma
LIN52,MBD4,-0.10431,IFN-gamma
LIN52,NT5DC3,0.07985,IFN-gamma
LIN52,RELB,-0.07495,IFN-gamma
LMOD3,LOC100128098,0.30521,IFN-gamma
LMOD3,LOC100128126,0.27037,IFN-gamma
LMOD3,LOC100130229,0.1338,IFN-gamma
LMOD3,STAG3L3,0.18304,IFN-gamma
LOC100128086,ZNF777,-0.1428,IFN-gamma
LOC100128098,LOC100129211,0.34429,IFN-gamma
LOC100128098,LYZ,0.16909,IFN-gamma
LOC100128126,PHAX,0.33922,IFN-gamma
LOC100128288,LOC100129211,0.27811,IFN-gamma
LOC100128288,LOC100129269,0.33953,IFN-gamma
LOC100128460,LOC100129211,0.15505,IFN-gamma
LOC100129211,LOC100129269,0.11672,IFN-gamma
LOC100129211,LOC100132585,0.30326,IFN-gamma
LOC100129269,LOC100130276,0.17427,IFN-gamma
LOC100129269,LOC100130835,0.19612,IFN-gamma
LOC100130053,LOC100131850,0.10732,IFN-gamma
LOC100130053,LOC100132727,0.19566,IFN-gamma
LOC100130229,LOC440157,0.11872,IFN-gamma
LOC100130229,LOC644852,0.09916,IFN-gamma
LOC100130229,VHL,-0.15873,IFN-gamma
LOC100130229,ZNF845,0.14145,IFN-gamma
LOC100130276,LOC100131452,0.17443,IFN-gamma
LOC100130835,LOC100132391,0.0743,IFN-gamma
LOC100130835,LOC642947,-0.08963,IFN-gamma
LOC100130835,LRRFIP1,0.10577,IFN-gamma
LOC100130835,SEMA3E,0.37103,IFN-gamma
LOC100131850,LOC100132391,0.21418,IFN-gamma
LOC100131850,PACRGL,0.30636,IFN-gamma
LOC100132391,LOC100132540,-0.05784,IFN-gamma
LOC100132391,LOC100132585,0.45784,IFN-gamma
LOC100132540,LOC100132620,0.57131,IFN-gamma
LOC100132540,LOC728903,0.07198,IFN-gamma
LOC100132585,LOC100132727,0.01863,IFN-gamma
LOC100132585,LOC100134868,0.10897,IFN-gamma
LOC100132585,LOC644852,0.20582,IFN-gamma
LOC100132585,LOC728903,0.41821,IFN-gamma
LOC100132585,LOC729439,-0.04201,IFN-gamma
LOC100132620,LOC100190938,-0.02568,IFN-gamma
LOC100132620,LOC727773,0.09449,IFN-gamma
LOC100132727,LOC100134868,0.16243,IFN-gamma
LOC100132727,LOC202781,0.09376,IFN-gamma
LOC100132727,LOC642947,0.21688,IFN-gamma
LOC100132727,LOC727773,0.07278,IFN-gamma
LOC100134868,LOC202781,0.26597,IFN-gamma
LOC100134868,LOC440157,0.17673,IFN-gamma
LOC100190938,LOC255167,0.64907,IFN-gamma
LOC123688,LOC728105,0.17587,IFN-gamma
LOC123688,MBTD1,0.20196,IFN-gamma
LOC202781,LOC255167,0.17206,IFN-gamma
LOC202781,OCIAD1,0.42127,IFN-gamma
LOC255167,LOC399900,0.31381,IFN-gamma
LOC255167,LOC642947,0.13204,IFN-gamma
LOC284821,MCM8,0.06742,IFN-gamma
LOC284821,OSCAR,0.22845,IFN-gamma
LOC399900,LOC441087,0.38741,IFN-gamma
LOC399900,LOC641522,-0.14888,IFN-gamma
LOC401357,LOC728457,0.53254,IFN-gamma
LOC401357,MAFF,-0.09986,IFN-gamma
LOC401357,NOD1,0.12128,IFN-gamma
LOC401357,TNK2,0.13494,IFN-gamma
LOC440157,LOC728105,0.18286,IFN-gamma
LOC440157,LRAP,-0.15073,IFN-gamma
LOC440157,PCDHB9,0.24807,IFN-gamma
LOC441087,LOC728903,0.29263,IFN-gamma
LOC641522,LOC643509,-0.12037,IFN-gamma
LOC641522,LOC644019,0.21155,IFN-gamma
LOC641522,LOC646996,0.06244,IFN-gamma
LOC642947,LOC643509,0.23879,IFN-gamma
LOC642947,LOC643882,0.07002,IFN-gamma
LOC642947,LOC646996,0.24492,IFN-gamma
LOC643509,LOC645895,0.51258,IFN-gamma
LOC643882,LOC644642,0.12872,IFN-gamma
LOC643882,LOC644852,0.17182,IFN-gamma
LOC643882,MGC12760,0.27512,IFN-gamma
LOC644019,LOC644852,-0.04073,IFN-gamma
LOC644019,MCF2L2,0.81403,IFN-gamma
LOC644019,SLC4A5,0.06029,IFN-gamma
LOC644642,LOC653086,0.08989,IFN-gamma
LOC644642,PHF1,-0.10313,IFN-gamma
LOC644642,PION,-0.11413,IFN-gamma
LOC644642,PTPLAD2,0.07491,IFN-gamma
LOC644642,SLC4A5,0.12596,IFN-gamma
LOC644642,STAG3L3,-0.08374,IFN-gamma
LOC644852,LOC728105,0.30557,IFN-gamma
LOC644852,LOC729439,-0.08175,IFN-gamma
LOC645895,LOC729090,0.38935,IFN-gamma
LOC645895,LOC729439,0.27194,IFN-gamma
LOC646897,LOC646996,0.0608,IFN-gamma
LOC646897,MAFF,0.222,IFN-gamma
LOC646897,SPINT3,0.24089,IFN-gamma
LOC646996,LOC653086,0.195,IFN-gamma
LOC646996,LOC728105,0.2135,IFN-gamma
LOC653086,LOC728903,0.05946,IFN-gamma
LOC653086,LOC90586,0.20853,IFN-gamma
LOC653086,LRRFIP1,-0.22483,IFN-gamma
LOC727773,LOC728054,0.1431,IFN-gamma
LOC727773,SNRNP48,0.22499,IFN-gamma
LOC728054,LOC729439,-0.06493,IFN-gamma
LOC728054,LOC730313,0.02882,IFN-gamma
LOC728054,PODXL,0.21582,IFN-gamma
LOC728054,TTC21B,0.24486,IFN-gamma
LOC728105,LOC728457,0.05065,IFN-gamma
LOC728105,LOC731789,0.17989,IFN-gamma
LOC728457,NBPF8,0.19586,IFN-gamma
LOC728457,NUP107,0.10733,IFN-gamma
LOC728457,PCYOX1,-0.07096,IFN-gamma
LOC728457,PHF1,0.0514,IFN-gamma
LOC728457,PION,0.2403,IFN-gamma
LOC728457,SORL1,-0.13106,IFN-gamma
LOC728457,STAG3L3,0.24481,IFN-gamma
LOC728457,TNK2,0.26006,IFN-gamma
LOC728903,LOC730313,0.19509,IFN-gamma
LOC728903,LRRFIP1,0.15441,IFN-gamma
LOC729090,LOC730313,0.33453,IFN-gamma
LOC729439,LOC729603,0.07988,IFN-gamma
LOC729439,MGC16703,0.32369,IFN-gamma
LOC729439,MSH3,0.45181,IFN-gamma
LOC730313,LOC90586,0.48393,IFN-gamma
LOC730313,LRAP,0.39508,IFN-gamma
LOC731789,LOC90586,0.07626,IFN-gamma
LOC731789,MGC12760,0.1335,IFN-gamma
LOC731789,PCDHB9,0.12851,IFN-gamma
LOC731789,SMCR5,0.20686,IFN-gamma
LOC90586,LOC93349,-0.07131,IFN-gamma
LOC90586,MBD4,0.32943,IFN-gamma
LOC90586,MCM8,0.03418,IFN-gamma
LRAP,LRRFIP1,0.36477,IFN-gamma
LRRFIP1,MAFF,0.07011,IFN-gamma
LYRM7,SNORD114-7,-0.12924,IFN-gamma
LYRM7,SORL1,0.13463,IFN-gamma
LYRM7,TIPRL,0.18405,IFN-gamma
LYRM7,TRIM56,0.15723,IFN-gamma
LYRM7,YEATS4,0.14034,IFN-gamma
LYZ,MAFF,-0.1068,IFN-gamma
LYZ,NBPF8,0.04676,IFN-gamma
LYZ,PHF1,0.05867,IFN-gamma
LYZ,SNRNP48,-0.13409,IFN-gamma
MAFF,MBOAT2,0.11469,IFN-gamma
MAFF,PHAX,0.1532,IFN-gamma
MAFF,PHF1,0.15581,IFN-gamma
MAFF,RASSF6,0.19566,IFN-gamma
MAFF,SORL1,-0.13778,IFN-gamma
MAFF,ZNF131,-0.13843,IFN-gamma
MBD4,MBOAT2,0.09529,IFN-gamma
MBD4,MCF2L2,-0.08235,IFN-gamma
MBD4,MFSD11,0.39478,IFN-gamma
MBOAT2,MGC12760,0.17613,IFN-gamma
MBOAT2,PACRGL,0.26592,IFN-gamma
MBTD1,PHAX,0.15919,IFN-gamma
MCF2L2,MEFV,0.04625,IFN-gamma
MCF2L2,NDUFC2,0.0539,IFN-gamma
MCF2L2,RELB,0.08003,IFN-gamma
MCF2L2,TTC21B,-0.10487,IFN-gamma
MCM8,NBPF8,0.08573,IFN-gamma
MCM8,NLRP3,0.1058,IFN-gamma
MCM8,PDE4C,0.54505,IFN-gamma
MCM8,TLK1,-0.09195,IFN-gamma
MDM1,OSCAR,0.14099,IFN-gamma
MFSD11,MGC16703,0.107,IFN-gamma
MFSD11,MTMR12,-0.24456,IFN-gamma
MFSD11,PCYOX1,0.20353,IFN-gamma
MFSD11,TLK1,0.22526,IFN-gamma
MGC12760,SPC24,0.2267,IFN-gamma
MGC16703,MSH3,0.24257,IFN-gamma
MINK1,TMEM106A,0.19912,IFN-gamma
MINK1,ZNF786,-0.16843,IFN-gamma
MRP63,POLR3A,0.13025,IFN-gamma
MSH3,OCIAD1,0.04822,IFN-gamma
MSH3,PDCD7,0.20111,IFN-gamma
MSH3,PHAX,-0.03425,IFN-gamma
MSH3,RN7SL1,0.31739,IFN-gamma
MT1G,UBE2E2,-0.21631,IFN-gamma
MTPAP,NDUFC2,0.23118,IFN-gamma
MTPAP,PODXL,0.2272,IFN-gamma
NBPF8,OCIAD1,0.17196,IFN-gamma
NBPF8,PTPLAD2,0.19308,IFN-gamma
NBPF8,SNX17,-0.19791,IFN-gamma
NBPF8,STK24,-0.19135,IFN-gamma
NCAPD2,NLRP3,0.10678,IFN-gamma
NCAPD2,SNORD3D,-0.045,IFN-gamma
NDUFC2,NDUFV3,0.13243,IFN-gamma
NDUFV3,OCIAD1,-0.08929,IFN-gamma
NDUFV3,PRIM2,0.13744,IFN-gamma
NDUFV3,PTPLAD2,0.10055,IFN-gamma
NDUFV3,TNFSF14,0.06339,IFN-gamma
NFIL3,TBC1D9,0.22545,IFN-gamma
NFIL3,TNFSF15,-0.06942,IFN-gamma
NFIL3,TPM4,-0.15508,IFN-gamma
NFIL3,WNT5A,0.28049,IFN-gamma
NFIL3,ZHX2,0.19989,IFN-gamma
NLRP3,OCIAD1,-0.09328,IFN-gamma
NLRP3,POLR3A,-0.11469,IFN-gamma
NLRP3,SLC3A2,-0.07323,IFN-gamma
NLRP3,SNORD3D,-0.04888,IFN-gamma
NLRP3,TAF11,-0.08351,IFN-gamma
NLRP3,TMEM106A,0.11265,IFN-gamma
NLRP3,TNFSF14,-0.16916,IFN-gamma
NOD1,PACRGL,-0.07534,IFN-gamma
NOD1,PHF1,0.21277,IFN-gamma
NOD1,SSSCA1,0.28865,IFN-gamma
NOD1,TMEM106A,-0.22199,IFN-gamma
NOD1,TNK2,0.14147,IFN-gamma
NT5DC3,TNFRSF10B,0.12158,IFN-gamma
NT5DC3,WDR74,-0.17142,IFN-gamma
NUP107,PION,0.15648,IFN-gamma
NUP107,SMC4,0.27491,IFN-gamma
NUP107,SPTLC1,-0.05791,IFN-gamma
NUP107,SSSCA1,-0.16882,IFN-gamma
NUP107,UBE2E2,0.09973,IFN-gamma
NUP107,WDR48,0.12357,IFN-gamma
OCIAD1,PCDHB9,0.15246,IFN-gamma
OCIAD1,PDCD7,0.13036,IFN-gamma
OCIAD1,PDE4C,0.08904,IFN-gamma
OSCAR,RELB,0.11475,IFN-gamma
OSCAR,ZYX,0.20639,IFN-gamma
PCDHB9,PLA2G2D,0.26836,IFN-gamma
PCDHB9,PLEKHB2,-0.04845,IFN-gamma
PCDHB9,RN7SL1,-0.06177,IFN-gamma
PCYOX1,PLEKHB2,0.14322,IFN-gamma
PCYOX1,TBC1D15,0.082,IFN-gamma
PDCD7,RN7SL1,0.35424,IFN-gamma
PDE4C,PION,0.05687,IFN-gamma
PDE4C,PIP5K2B,0.11955,IFN-gamma
PGA3,WNT5A,0.19311,IFN-gamma
PHAX,PPM1K,0.19826,IFN-gamma
PHAX,RASSF6,0.05978,IFN-gamma
PHAX,TNFSF15,0.256,IFN-gamma
PHF1,RELB,0.23372,IFN-gamma
PHF1,SLC3A2,0.27855,IFN-gamma
PHF1,SMC4,0.17079,IFN-gamma
PHF1,TPM4,-0.1496,IFN-gamma
PHF1,UBE2E2,-0.1123,IFN-gamma
PHF1,ZNF777,-0.10763,IFN-gamma
PHRF1,TIPRL,-0.27797,IFN-gamma
PHRF1,TNK2,0.20117,IFN-gamma
PHRF1,VHL,0.01467,IFN-gamma
PHRF1,ZNF777,0.16033,IFN-gamma
PION,RAB27A,-0.13704,IFN-gamma
PION,SLC3A2,-0.19112,IFN-gamma
PION,ZYX,-0.17278,IFN-gamma
PIP5K2B,PLIN5,0.13661,IFN-gamma
PIP5K2B,PNPT1,0.09201,IFN-gamma
PIP5K2B,PPA2,0.54271,IFN-gamma
PLA2G2D,PLIN5,0.22216,IFN-gamma
PLA2G2D,PLXNA4,0.20694,IFN-gamma
PLA2G2D,SMCR5,0.22215,IFN-gamma
PLEKHB2,PLIN5,0.23752,IFN-gamma
PLEKHB2,PNPT1,0.1223,IFN-gamma
PLEKHB2,POFUT1,0.31153,IFN-gamma
PLEKHB2,PPA2,-0.19132,IFN-gamma
PLEKHB2,QRFPR,0.3447,IFN-gamma
PLEKHB2,SMCR5,-0.14746,IFN-gamma
PNPT1,PRPF8,-0.13381,IFN-gamma
PNPT1,RPL7L1,0.34556,IFN-gamma
PNPT1,TMEM106A,0.27268,IFN-gamma
PODXL,POLR3A,-0.09589,IFN-gamma
POFUT1,PPA2,0.40171,IFN-gamma
PPA2,PRO1853,0.13111,IFN-gamma
PPA2,PTPLAD2,0.08438,IFN-gamma
PPA2,SLC4A5,0.10253,IFN-gamma
PPA2,ZNF786,0.29959,IFN-gamma
PPFIBP1,PPID,0.08562,IFN-gamma
PPFIBP1,PPIL3,0.15191,IFN-gamma
PPID,PRIM2,4e-05,IFN-gamma
PPID,RUNDC2B,-0.03179,IFN-gamma
PPIL3,RUNDC2B,0.30887,IFN-gamma
PPIL3,SEMA3E,0.04001,IFN-gamma
PPIL3,TAF11,0.27184,IFN-gamma
PPM1K,PRO1853,0.17393,IFN-gamma
PPM1K,QRFPR,0.19165,IFN-gamma
PPM1K,SGK3,-0.14895,IFN-gamma
PRIM2,PTPLAD2,0.09176,IFN-gamma
PRIM2,SLC30A6,0.04955,IFN-gamma
PRIM2,SNHG10,0.41695,IFN-gamma
PRIM2,TIPRL,0.02519,IFN-gamma
PRIM2,ZNF266,0.57156,IFN-gamma
PRO1853,QRFPR,0.17582,IFN-gamma
PRPF8,SC4MOL,0.1012,IFN-gamma
PRPF8,THRA,0.09661,IFN-gamma
PRPF8,TMBIM4,-0.10546,IFN-gamma
PRPF8,TPM4,-0.1234,IFN-gamma
PRPF8,ZNF131,0.1102,IFN-gamma
PTPLAD2,QRFPR,0.12595,IFN-gamma
PTPLAD2,RAB27A,-0.09296,IFN-gamma
PTPLAD2,RAB3IP,-0.12244,IFN-gamma
PTPLAD2,RPL7L1,0.06752,IFN-gamma
PTPLAD2,SORL1,0.09039,IFN-gamma
PTPLAD2,SPTLC1,0.12773,IFN-gamma
PTPLAD2,STAG3L3,-0.08013,IFN-gamma
PTPLAD2,VPS41,0.22436,IFN-gamma
QRFPR,RAB27A,0.09931,IFN-gamma
QRFPR,RAG1AP1,0.17461,IFN-gamma
QRFPR,RHBDL2,0.1533,IFN-gamma
RAB27A,SEMA3E,0.21398,IFN-gamma
RAB3IP,SGK3,0.13076,IFN-gamma
RAB3IP,SLAMF7,0.14882,IFN-gamma
RAG1AP1,SORL1,-0.13162,IFN-gamma
